,name,type,address,latitude,longitude
29,LOWIDE,"카페,디저트",서울특별시 성동구 서울숲2길 22-1,37.5466768,127.042247
30,오스테리아 오르조,음식점>양식>양식,서울특별시 용산구 한남대로20길 47,37.5352061,127.0099204
31,단디,덮밥,서울특별시 송파구 백제고분로45길 7,37.5098718,127.1091841
32,칸다소바 경복궁점,일본식라면,서울특별시 종로구 자하문로7길 5,37.5793043,126.9699922
33,우와,일식당,서울특별시 강남구 강남대로158길 17,37.5195381,127.0212676
34,누데이크 하우스 도산,"카페,디저트",서울특별시 강남구 압구정로46길 50,37.5260572,127.0359707
35,오파토,브런치,서울특별시 용산구 신흥로12길 1,37.5439753,126.9882071
36,고트델리 서촌,샌드위치,서울특별시 종로구 필운대로5가길 13,37.5805617,126.966932
37,연하동,일식당,서울특별시 마포구 연남로 6,37.5673946,126.9168448
38,위트앤미트 강남점,샌드위치,서울특별시 강남구 강남대로110길 32,37.5036706,127.0274712
39,더 스팟 패뷸러스,"카페,디저트",서울특별시 중구 명동2길 22,37.5646988,126.9843773
40,카페레이어드 안국점,베이커리,서울특별시 종로구 북촌로2길 2-3,37.577866,126.9860196
41,호족반,한식,서울특별시 강남구 언주로164길 39,37.5255048,127.0352819
42,파이프그라운드,피자,서울특별시 용산구 한남대로27길 66,37.5386881,127.0038726
43,어글리베이커리,베이커리,서울특별시 마포구 월드컵로13길 73,37.5550093,126.9092717
44,르프리크,햄버거,서울특별시 성동구 연무장5길 9-16,37.5440446,127.0528161
45,서촌스코프,"카페,디저트",서울특별시 종로구 필운대로5가길 31,37.5805617,126.966932
46,우동 카덴,"우동,소바",서울특별시 마포구 양화로7안길 2-1,37.5527645,126.9150168
47,해목,일식당,서울특별시 강남구 선릉로145길 14,37.5214555,127.0387758
48,아루히,일식당,서울특별시 영등포구 여의나루로 42,37.5243283,126.9285135
49,단디 연남점,덮밥,서울특별시 마포구 동교로 265,37.5588726,126.9234285
50,리틀넥 한남,이탈리아음식,서울특별시 용산구 한남대로27길 66,37.5386881,127.0038726
51,어니언 안국,"카페,디저트",서울특별시 종로구 계동길 5,37.5811385,126.9867344
52,올드페리도넛,"카페,디저트",서울특별시 용산구 한남대로27길 66,37.5386881,127.0038726
53,리틀넥 청담,이탈리아음식,서울특별시 강남구 도산대로51길 17,37.5255736,127.0381194
54,kuna,이탈리아음식,서울특별시 성동구 연무장5길 9-16,37.5440446,127.0528161
55,달마시안,음식점>양식>양식,서울특별시 강남구 압구정로42길 42,37.5240822,127.034101
56,소점,일식당,서울특별시 마포구 성미산로17길 99,37.564254,126.9174972
57,효뜨,베트남음식,서울특별시 용산구 한강대로40가길 6,37.5308123,126.9716343
58,카츠바이콘반,일식당,서울특별시 강남구 선릉로153길 36,37.5248405,127.0387181
59,원형들,"카페,디저트",서울특별시 중구 창경궁로1길 38,37.5629053,126.9972226
60,현우동,"우동,소바",서울특별시 강남구 논현로149길 53,37.5162702,127.0238659
61,까폼,태국음식,서울특별시 강남구 선릉로153길 18,37.5248405,127.0387181
62,소금집델리 망원,음식점>양식>양식,서울특별시 마포구 월드컵로19길 14,37.5539298,126.9065843
63,오츠커피 용산점,"카페,디저트",서울특별시 용산구 원효로89길 13-12,37.5407363,126.9683083
64,테라스룸,음식점>양식>양식,서울특별시 강남구 선릉로152길 37,37.5242666,127.0412592
65,맥주덕후 피자덕후,피자,서울특별시 강남구 선릉로157길 23,37.5260511,127.0386832
66,감탄성신,일식당,서울특별시 강남구 강남대로106길 14,37.5031198,127.0270831
67,꾸띠자르당,패밀리레스토랑,서울특별시 용산구 보광로 120,37.5334476,126.99461
