name,address,latitude,longitude
가양이마트  ,서울특별시 강서구 양천로 559,37.5733438,126.8167715
까치산역  ,서울특별시 강서구 강서로13길 3,37.5318519,126.8453269
화곡역8번출구  ,서울특별시 강서구 강서로 179,37.5292654,126.8481558
강서우장산  ,서울특별시 강서구 강서로 231,37.5292654,126.8481558
등촌대로  ,서울특별시 강서구 공항대로 543,37.5611331,126.8122158
가양역사거리  ,서울특별시 강서구 화곡로 416,37.5496816,126.84779
내발산  ,서울특별시 강서구 강서로 323,37.5292654,126.8481558
마곡웰튼  ,서울특별시 강서구 마곡중앙5로 22,37.5671609,126.8220048
김포공항DT  ,서울특별시 강서구 개화동로 517,37.5987756,126.810582
강서NC  ,서울특별시 강서구 강서로56길 17,37.5596199,126.838934
마곡나루공원  ,서울특별시 강서구 마곡중앙5로 47,37.5671609,126.8220048
강서구청사거리  ,서울특별시 강서구 화곡로 350,37.5496816,126.84779
낙성대역  ,서울특별시 관악구 남부순환로 1908,37.4777009,126.96121395882453
관악서울대입구R  ,서울특별시 관악구 관악로 158,37.47931845,126.9528247992159
신림DT  ,서울특별시 관악구 남부순환로 1419,37.4821966,126.9474016
서울대역  ,서울특별시 관악구 남부순환로 1817,37.4816144,126.9520441
낙성대DT  ,서울특별시 관악구 남부순환로 1948,37.4761494,126.9651315
사당  ,서울특별시 관악구 남부순환로 2082,37.4821966,126.9474016
보라매대교  ,서울특별시 관악구 보라매로3길 23,37.4914431,126.9254397
신림사거리  ,서울특별시 관악구 남부순환로 1619,37.4821966,126.9474016
신림  ,서울특별시 관악구 신림로 355-1,37.4709068,126.9419211
신림타임스트림  ,서울특별시 관악구 신림로 330,37.4838403,126.9301275
서울대입구역  ,서울특별시 관악구 남부순환로 1812,37.4811591,126.95131
봉천역  ,서울특별시 관악구 남부순환로 1730,37.4821966,126.9474016
건국대  ,서울특별시 광진구 능동로 117,37.5529046,127.0772581
어린이대공원역  ,서울특별시 광진구 능동로 243,37.5520304,127.07642
아차산역  ,서울특별시 광진구 천호대로 676,37.5566093,127.0806118
올림픽대교북단  ,서울특별시 광진구 광나루로 608,37.5439347,127.0927273
구의DT  ,서울특별시 광진구 광나루로 519,37.5439347,127.0927273
자양사거리  ,서울 광진구 아차산로 355,37.537373450000004,127.08264626068336
군자역  ,서울특별시 광진구 천호대로 548,37.5566093,127.0806118
광나루  ,"서울특별시 광진구 아차산로 607,",37.5461477,127.105331
건대스타시티  ,서울특별시 광진구 아차산로 262,37.5461477,127.105331
자양  ,서울특별시 광진구 능동로 50,37.5529046,127.0772581
건대입구  ,서울특별시 광진구 능동로 107,37.5529046,127.0772581
구의역  ,서울특별시 광진구 아차산로 373,37.5461477,127.105331
광장  ,서울특별시 광진구 아차산로 537-17,37.5461477,127.105331
건국클래식  ,서울특별시 광진구 능동로 90,37.53833375,127.07090505
건대후문  ,서울특별시 광진구 능동로 172,37.5529046,127.0772581
중곡역  ,서울특별시 광진구 능동로 400,37.5529046,127.0772581
자양이마트  ,서울특별시 광진구 아차산로 272,37.538418,127.07323878135787
뚝섬유원지역  ,서울특별시 광진구 능동로 18,37.5529046,127.0772581
군자사거리  ,서울특별시 광진구 천호대로 549,37.5566093,127.0806118
금천구청역  ,서울특별시 금천구 시흥대로73길 67,37.45593885,126.89567667264251
가산에스케이  ,서울특별시 금천구 가산디지털1로 171,37.46781,126.88714
독산사거리  ,서울특별시 금천구 시흥대로 426,37.4681984,126.8980298
금천시흥  ,서울특별시 금천구 시흥대로 164,37.448860100000005,126.90326799249004
가산디지털단지역  ,서울특별시 금천구 벚꽃로 298,37.4693216,126.8883347
금천독산  ,서울특별시 금천구 두산로 70,37.4703518,126.8926233
가산디지털  ,서울특별시 금천구 가산디지털1로 168,37.46781,126.88714
W-Mall  ,서울특별시 금천구 디지털로 188,37.4773613,126.88771096865983
마리오아울렛  ,서울특별시 금천구 벚꽃로 266,37.47847565,126.88518193821237
가산브이타워  ,서울특별시 금천구 가산디지털1로 128,37.46781,126.88714
가산그레이트  ,"서울특별시 금천구 디지털로9길 32,",37.48195,126.88525
독산역  ,서울특별시 금천구 가산디지털1로 16,37.46781,126.88714
가산현대아울렛  ,서울특별시 금천구 디지털로10길 9,37.4769457,126.8888314
월계역  ,서울특별시 노원구 초안산로2라길 26,37.6321433,127.0581182
월계트레이더스  ,서울특별시 노원구 마들로3길 15,37.626264,127.061951
상계초교사거리  ,서울특별시 노원구 노원로 449,37.6573,127.06643
공릉DT  ,서울특별시 노원구 동일로 1015,37.6242653,127.0734496
노원마들역  ,서울특별시 노원구 노원로 569,37.6573,127.06643
공릉역  ,서울특별시 노원구 동일로 1081,37.6242653,127.0734496
은행사거리  ,"서울특별시 노원구 중계로 217,",37.6506379,127.0779831
노원KT  ,"서울특별시 노원구 노해로 502,",37.6539346,127.0589604
광운대  ,서울특별시 노원구 석계로 104,37.62,127.06322
중계역  ,"서울특별시 노원구 동일로 1339,",37.6242653,127.0734496
노원역  ,서울특별시 노원구 동일로 1413,37.6242653,127.0734496
월계이마트  ,서울특별시 노원구 마들로3길 15,37.626264,127.061951
태릉입구역DT  ,서울특별시 노원구 화랑로 469,37.6239187,127.0907603
창동이마트  ,서울특별시 도봉구 노해로65길 4,37.652,127.0463641
쌍문역  ,서울특별시 도봉구 도봉로 480,37.6806064,127.0455927
쌍문도봉로  ,서울특별시 도봉구 도봉로 444,37.6806064,127.0455927
방학역  ,서울특별시 도봉구 도봉로 684,37.6806064,127.0455927
노량진동  ,서울특별시 동작구 노량진로 190,37.5125967,126.9543166
남성역  ,서울특별시 동작구 사당로 219,37.4946982,126.9608044
상도역  ,서울특별시 동작구 상도로37길 1,37.5003784,126.9508288
보라매공원R  ,서울특별시 동작구 보라매로5길 35,37.4927106,126.9248886
이수자이  ,서울특별시 동작구 사당로 300,37.4946982,126.9608044
노량진역  ,서울특별시 동작구 노량진로 134,37.5125967,126.9543166
신대방삼거리역  ,서울특별시 동작구 상도로 102,37.504630399999996,126.94753824964121
중앙대  ,서울특별시 동작구 흑석로 75-1,37.5044873,126.9500303
숭실대입구역  ,서울특별시 동작구 상도로 354,37.5050907,126.9407112
숭실대  ,서울특별시 동작구 사당로 4,37.483358,126.9759536
사당역  ,"서울특별시 동작구 동작대로 21,",37.5007662,126.9838687
